description,url,Couleur,price,Age,Couleur du véhicule,Puissance fiscale,Kilométrage,Cylindrée moto,Superficie,Etat du véhicule,title,Modèle,Boite,Etat,Marque,Genre,Année,Carburant,Type de transaction,Type de carrosserie,Salles de bains,Livraison,Chambres,Cylindrée
"Voiture S U V importée ,1 ère main en Tunisie , aux normes européennes , 4 * 4 , unique en son genre , bourrée d'options . Spacieuse , confortable , soigneusement entretenu , économique avec 3 modes de conduite : mode économique ,mode 2*4 et le mode 4*4 et une boite manuelle 6 vitesses . Toute options : climatisée ,4 vitres électriques + bouton de blocage des portes et vitres A.R pour la sécurité des enfants ,fermeture centrale commande au clé+ clé double origine + catalogue . Post android origine, commande s .volant, écran tactile 12 pouces , GPS, Bluetooth, USB, aux .2 prises 12 v .Radar de recule sonore origine +camera360o aussi GPS avec la carte de la Tunisie installée + guide vocale . 4 airbags, volant multifonctions en véritable cuire réglable en 4 positions , boule levier vitesses en cuire aussi .Fermeture automatique des portes l'ors du démarrage , régulateur et limiteur de vitesses , direction assisté, ordinateur de bord, rétroviseurs électriques , porte lunettes , ABS , sièges avants chauffants , capteurs de pressions des pneus ,start an stop système , réglages électrique des phares A.V , jantes aluminiums 16 pouces + 4 pneus neufs , baguettes origines sur les portes et sur les ailes av +ar , feu du jours ,antibrouillards ,av+ar ,barres de toit, vitres et lunette A.R sur-tinté origine .Salon en cuire encore toute neuve avec 5 repose têtes et accoudoir centrale av. Peinture encore origine sans aucune retouches couleur noire métallisée . 7cv économique 4 cylindres boite 6 vitesses avec 3 modes de conduite : 2*4 , 4*4 , et le mode eco économique . La roue de secoure placée dans le male pas de risque de vole . Batterie start and stop neuve avec garantie , huile 5 w40 Castol EDGE pour 10 000 klm toujours changer à 7500 klm seulement avec filtres . Voiture à l'état origine encore toute neuve .Prix : 54 400 MD légèrement discutable dans les limites possibles . TEL:
. Que les sérieux S V P merci .",https://www.tayara.tn/item/voitures/ariana/la-soukra/dacia-duster-suv-44-importe-1re-main-en-tn-modle-unique-tt-neuf-tel-51-550366/6a131f05453ae0812f09d205/,,54400,,Noir,7,153000,,,Nouveau,Dacia Duster SUV 4*4 Importée 1ère main en T.N modèle unique t.t neuf tel: 51 550366.,Duster,Manuelle,,Dacia,,2018,Essence,,4 x 4,,,,1.4L
"A louer voiture neuf
Avec caution 1000 dt + contrat
Disponible à partir le 30 mai 
Whatssap",https://www.tayara.tn/item/voitures/tunis/l-aouina/location-voiture/6a12eda42257200009cc0927/,,140,,,,22000,,,,Location voiture,,,,Mahindra,,2025,,,,,,,
"Afficher le numéro
VOITURE PEUGEOT 301 ACTIVE

 PREMIÈRE MAIN TRÈS PROPRE 

VOITURE A L'ÉTAT ORIGINE JAMAIS

 TOUCHÉE OU RETOUCHÉE PEINTURE

 D'ORIGINE 

4 VITRES ÉLECTRIQUES 

DISPONIBLE A ARIANA",https://www.tayara.tn/item/voitures/ariana/ariana/peugeot-301-premire-main-en-excellent-tat-bote-manuelle/6a13ec41453ae0812f0a0e6d/,,34500,,Gris,5,87000,,,Avec kilométrage,PEUGEOT 301 PREMIÈRE MAIN EN EXCELLENT ÉTAT BOÎTE MANUELLE,301,Automatique,,Peugeot,,2023,Essence,,Berline,,,,1.2L
"💎 Renault Clio 5 1.0 SCe en état exceptionnel — voiture très propre, élégante et économique !

✅ Année : 2022
✅ 126 000 km
✅ Moteur 1.0 SCe fiable et faible consommation
✅ Entretien suivi avec soin
✅ Aucun défaut
✅ Intérieur / extérieur impeccable
✅ Très agréable à conduire

✨ Options :
✔️ Écran tactile
✔️ Bluetooth / USB
✔️ Régulateur de vitesse
✔️ Climatisation
✔️ Radar de recul
✔️ Feux LED
✔️ Commandes au volant
✔️ Vitres électriques
✔️ Fermeture centralisée

🚘 Véhicule prêt à rouler sans aucun frais à prévoir.
Idéale pour famille, travail ou jeune conducteur 👌

📞 Sérieux uniquement
— voiture visible sur rendez-vous. 
📍Soukra Ariana 
⏳ Premier venu, premier servi !",https://www.tayara.tn/item/voitures/ariana/la-soukra/renault-clio-5-2022-en-tat-exceptionnel/6a13e9ad2257200009cc5715/,,39900,,Gris,5,126000,,,Avec kilométrage,Renault Clio 5 2022 en état exceptionnel,Clio,Manuelle,,Renault,,2022,Essence,,Compacte,,,,1.1L
"Afficher le numéro
PEUGEOT 301 ESSENCE 5 CV

PREMIÈRE MAIN EN TRÈS BON ÉTAT 

VOITURE TRÈS PROPRE INTÉRIEUR ET

 EXTÉRIEUR 

CLIMATISEUR EN FONCTION 

BLOO TOUTH TÉLÉPHONE MAIN LIBRE 

CONNECTIVITÉ AUX 

FERMETURE CENTRALISÉE 

ANTI BROUILLARD 

DISPONIBLE A BORJ LOUZIR ARIANA",https://www.tayara.tn/item/voitures/ariana/borj-louzir/peugeot-301-premire-main-trs-propre-bote-manuelle/6a135310453ae0812f09e6d7/,,34500,,Blanc,5,80000,,,Avec kilométrage,PEUGEOT 301 PREMIÈRE MAIN TRÈS PROPRE BOÎTE MANUELLE,301,Automatique,,Peugeot,,2022,Essence,,Berline,,,,1.2L
"🚘 MG HS à vendre 🚘

Je mets en vente ma MG HS en excellent état, très propre intérieur et extérieur.

✔️ Voiture confortable et puissante
✔️ Entretien régulier
✔️ Climatisation automatique
✔️ Caméra de recul
✔️ Écran tactile
✔️ Jantes aluminium
✔️ Faible consommation
 Avec carnet d’entretien maison MG

📅 Année : 2021
📍 Kilométrage : 51500 km
⛽ Carburant : Essence
⚙️ Boîte : Automatique
🎨 Couleur : Noir 

💰 Prix : 84000 DT négociable

📞 Pour plus d’informations :
Voiture visible à Ariana",https://www.tayara.tn/item/voitures/ariana/ariana/mg-hs-trophy/6a132f802257200009cc2249/,,84000,,Noir,9,51500,,,Nouveau,MG hs Trophy,HS,Automatique,,MG,,2021,Essence,,4 x 4,,,,2.0L
"🚗 À vendre : Chery QQ

Voiture en très bon état, propre et bien entretenue.✔️ Kilométrage : 45 000 km✔️ 4 pneus neufs✔️ 4 vitres électriques✔️ Climatisation en marche✔️ Chauffage en marche✔️ Intérieur propre✔️ Moteur impeccable✔️ Faible consommation

Aucun frais à prévoir.

📞 Pour plus d’informations, merci de me contacter",https://www.tayara.tn/item/voitures/tunis/le-bardo/chery-qq-2020/6a13e490e853e69bec0705fd/,,4,,Rouge,4,45000,,,Avec kilométrage,CHERY QQ 2020,QQ,Manuelle,,Chery,,2020,Essence,,Berline,,,,<1.0L
"🚗 Cupra Leon – Octobre 2024

38 000 km | 1.4 TSI 150 ch

🔥 Voiture neuve – état irréprochable
🔥 Entretiens 100% chez Ennakl Automobiles
🔥 Toit ouvrant + Full options

⚙️ Options

* Écran tactile 12,9”
* Apple CarPlay / Android Auto / Bluetooth
* Digital Cockpit
* Caméra de recul
* Radars avant / arrière
* Park Assist
* Régulateur & limiteur de vitesse
* Détecteur de fatigue
* Aide au démarrage en côte
* Modes de conduite (Confort / Sport / CUPRA / Individuel)
* Feux Full LED / Matrix LED + clignotants dynamiques
* Jantes aluminium sport
* Sièges sport confort
* Volant multifonctions
* Keyless (accès & démarrage sans clé)
* Climatisation automatique
* Éclairage d’ambiance
* Rétroviseurs rabattables électriques
* Vitres électriques + teintées
* Toit ouvrant
* ABS / ESP / Airbags

➡️ Véhicule neuf, suivi concession, aucun frais à prévoir

💰 Prix : 111 000 TND",https://www.tayara.tn/item/voitures/tunis/gammarth/cupra-leon/6a139a262257200009cc49f2/,,111000,,Noir,8,38000,,,Avec kilométrage,Cupra Leon,Leon,Automatique,,Seat,,2024,Essence,,Compacte,,,,1.4L
"À vendre :
Audi A3 Modèle 2015 Sportback

Kilomètrage De Voiture : 84.114
Première main
Performance Excellent

Prix : 70.000
Tel :",https://www.tayara.tn/item/voitures/ariana/cit-ennasr-2/audi-a3-vendre/6a13063f453ae0812f09c88e/,,700000,,Noir,5,84114,,,Avec kilométrage,Audi A3 À Vendre,A3,Manuelle,,Audi,,2015,Essence,,Autres,,,,3.2L
Spark Auto vous propose une Chevrolet Captiva à la vente. Cette voiture a été inspectée par nos agents pour vous garantir une qualité optimale. Un diagnostic complet est disponible sur notre site web.,https://www.tayara.tn/item/voitures/tunis/tunis/chevrolet-captiva-bonne-occasion-a-vendre/69fe5da560d918fc3293b1c3/,,59000,,Noir,9,107000,,,Avec kilométrage,Chevrolet Captiva Bonne Occasion a Vendre,Captiva,Automatique,,Chevrolet,,2022,Essence,,,,,,1.5L
"Hyundai i20 en très bon état, première main, conduite soigneusement par une femme.
Voiture propre, confortable et économique, idéale pour la ville comme pour les longs trajets.",https://www.tayara.tn/item/voitures/tunis/el-menzah-9/vente-hyundai-i20-en-trs-bon-tat/6a13490b2257200009cc2c7a/,,44500,,Blanc,4,76000,,,Avec kilométrage,vente Hyundai i20 en très bon état,I 20,Manuelle,,Hyundai,,2015,Essence,,Compacte,,,,1.2L
"Kia rio à vendre disponible à Tunis 
Mechya 560 alf km moteur jdid feha 
Voiture en bon état",https://www.tayara.tn/item/voitures/tunis/bab-souika/kia-rio-vendre/6a135dd1e853e69bec06e469/,,22400,,Noir,6,5600000,,,Avec kilométrage,Kia rio à vendre,Rio,Automatique,,Kia,,2010,Essence,,Compacte,,,,1.4L
"Volkswagen diesel en bon état, moteur type Golf 3 propre et économique. Voiture confortable avec volant assisté, idéale pour la famille ou le travail. Papiers en règle. Véhicule pratique et roule très bien. 
Disponible à Bir Taieb, Jammel – Monastir. 
Pour plus d’informations, contactez-moi
avec un prix 9 000 DT",https://www.tayara.tn/item/voitures/monastir/jemmal/volkswagen-transporter-moteur-golf-3-volant-assist/6a133376453ae0812f09da45/,,9000,,Blanc,,,,,Avec kilométrage,Volkswagen Transporter – moteur Golf 3 – volant assisté,Transporter,Manuelle,,Volkswagen,,1995,Diesel,,,,,,>4.0L
"je mets en vente une voiture C5 Citroën noir , modele 2009 ,en très bon état ,191000 km ,moteur essence, boîte automatique , toutes options, 9 chevaux , prix 20 milles négociable 
pour plus d'informations contacter
Afficher le numéro",https://www.tayara.tn/item/voitures/sousse/hammam-sousse/voiture-vendre/6a133baee853e69bec06d64b/,,20000000,,Noir,9,191000,,,Avec kilométrage,voiture à vendre,C5,Automatique,,Citroen,,2009,Essence,,Berline,,,,1.7L
"Bonjour je mets a votre disposition la location de ma voiture ford fiesta avec le chauffeur pour vos evenements mariages et occasions contactez moi au
Afficher le numéro",https://www.tayara.tn/item/services/tunis/tunis/voiture-et-chauffeur-pour-vos-vnements-mariages-et-occasions/6a133c88e853e69bec06d6b4/,,0,,,,,,,,Voiture et chauffeur pour vos événements mariages et occasions,,,,,,,,,,,,,
"فرصة ممتازة لأصحاب المشاريع والتجارة! شاحنة رُبّاح للبيع 🚐💨
للبيع شاحنة Volkswagen LT 35 TDI (السقف العالي والهيكل الطويل)، الشريك المثالي لتكبير مشروعك ونقل سلعتك بكل أمان! 🏗️📦
🛠️ المواصفات الفنية المتميزة:
المحرك: 2.5 TDI.. محرك غني عن التعريف، معروف بقوته الكبيرة، اقتصادي في الاستهلاك، وميكانيك صحيح يعتمد عليه في المسافات الطويلة! ⚡🔧
الهيكل: سقف عالي و شاسي طويل (High-roof, long-wheelbase) يعطيك مساحة تخزين عملاقة تهز معاك كل شيء في سفرة واحدة. 📐🎒
👌 حالة الشاحنة:
الميكانيك: المطور في حالة ممتازة، تبارك الله! الشاحنة تخدم وتمشي بانتظام وجاهزة مباشرة للعمل بدون مصاريف ميكانيكية. 🟢🛣️
الهيكل الخارجي: الشاحنة تخدم على روحها، فما بعض الخبوش الخفيفة وآثار الصدأ العادية بحكم الخدمة (طبيعي جداً وعادي جداً)، الموتور والصحيح هو الأساس! 🛠️🎨
الأوراق: كامل الوثائق قانونية، واضحة وخالصة 100% وجاهزة للتسجيل. 📄عسل!
💰 السعر المقترح:
السعر: 24,000 دينار تونسي (قابل لنقاش خفيف في حدود المعقول للجادين). 💵✨
📍 مكان المعاينة: [أكتب هنا مكانك، مثلاً: المنستير]",https://www.tayara.tn/item/voitures/monastir/ksibet-el-mdiouni/voiture-volkswagen/6a137bc9e853e69bec06f0bb/,,24,,Blanc,6,120,,,Avec kilométrage,voiture Volkswagen,Transporter,Automatique,,Volkswagen,,1998,Essence,,Pick up,,,,2.5L
"voiture en très bon état 
mécanique w tola nthaf 
visite technique jdida 
4 cheveux 4 cylindre 
contacter le numéro :",https://www.tayara.tn/item/voitures/sfax/autres-villes/106/6a12fa2c453ae0812f09c3d6/,,0,,Bleu,4,320000,,,Nouveau,106,106,Automatique,,Peugeot,,1998,Essence,,Compacte,,,,1.2L
Voiture a l'état d'origine,https://www.tayara.tn/item/voitures/monastir/monastir/peugeot-partner/6a131fe72257200009cc1c4e/,,53958453,,Blanc,5,132100,,,Avec kilométrage,Peugeot partner,Partner,Manuelle,,Peugeot,,2014,Diesel,,Utilitaire,,,,1.6L
"🚗 À vendre 
✅️Hyundai GRAND i10 1,2
📅 Année 2023
⛽ Kilométrage:200000 khm certifier 
🐎 Énergie: 5 cv essence 4 cylindre 
⚙️ État: Très bon état 
✔ Voiture propre et bien entretenue
✔ Moteur en très bon état
📩 Pour plus d’infos, contactez-nous",https://www.tayara.tn/item/voitures/mahdia/mahdia/hyundai-grand-i10/6a133799e853e69bec06d49d/,,33,,Gris,5,200000,,,Avec kilométrage,Hyundai Grand i10,I 10,Manuelle,,Hyundai,,2023,Essence,,Berline,,,,1.2L
"disponible 5pieces contact voiture 1.2.3 fiche pour Renault et autre marque
prix 70dt par piece
tel
Afficher le numéro",https://www.tayara.tn/item/pi%c3%a8ces-et-accessoires-pour-v%c3%a9hicules/monastir/moknine/cl-contact-renault-et-autre-marque/6a129aa2e853e69bec069ecc/,,70,,,,,,,,clé contact Renault et autre marque,,,,,,,,,,,Oui,,
"Bonjour 
Je vend ma voiture c4 cactus très bonne état importé de France en 2020 
Climatisé 
Vitres électriques 
Toit panoramique 
Attelage 
Caméra de recule
Pneu neuf 
Entretien chez Citroën 
Kit courroie de distribution faite ya 1 mois 
Vidange faite 
Roule très bien 
Petite rayure portière arrière droite voir photo",https://www.tayara.tn/item/voitures/mdenine/zarzis/citroen-c4-cactus/6a12dcdbe853e69bec06b18f/,,34000,,Gris,5,210000,,,Nouveau,Citroen c4 cactus,C4 Cactus,Manuelle,,Citroen,,2017,Diesel,,Compacte,,,,1.6L
"remorque voiture idéale pour voyages. 
Etat : comme neuve.",https://www.tayara.tn/item/remorques-et-caravanes/sfax/route-manzel-chaker/remorque-voiture/6a121bc6e853e69bec068b57/,,2500,,,,,,,,Remorque Voiture,,,,,,,,,,,,,
"S+2 bien équipé avec wifi et climatisé et un joli terrasse 
Le studio situé a nabeul loin au plage 5munite au voiture 
Et près fac de langue 4 munite a pied zone calme et près au mosquée et les magasin 
Svp famille 
Numéro whatsapp",https://www.tayara.tn/item/locations-de-vacances/nabeul/nabeul/q-louer-pour-vacance/6a120c75453ae0812f098dc4/,,0,,,,,,70,,Q louer pour vacance,,,,,,,,À Louer,,1,,2,
voiture neuve jamais touché,https://www.tayara.tn/item/voitures/sousse/sousse/trs-belle-voiture-/6a129e1ee853e69bec069f83/,,0,,Blanc,6,154000,,,Avec kilométrage,très belle voiture 😍,2008,Manuelle,,Peugeot,,2021,Diesel,,Berline,,,,1.5L
"A vendre voiture très confort ,état neuf premier main,non accidenté.Economique.",https://www.tayara.tn/item/voitures/tunis/centre-urbain-nord/belle-voiture-mg/6a11e406453ae0812f0980d9/,,55000,,Noir,117,73000,,,Avec kilométrage,Belle voiture MG,,Manuelle,,,,2020,Essence,,4 x 4,,,,1.5L
"BMW X6 3,5I ESSENCE X drive 
Ex RS ( voiture première main )
Année 2010 / kilométrage : 214 MKM
Voiture comme neuve ( roue de secours jamais servi)
Tel :
Dispo à sfax",https://www.tayara.tn/item/voitures/sfax/route-gremda/bmw-x6/6a12debc453ae0812f09b99f/,,0,,Bleu,21,215000,,,Avec kilométrage,BMW X6,X6,Automatique,,BMW,,2010,Essence,,4 x 4,,,,3.5L
"Voiture en très bon état, importée d'Allemagne, toutes options, bien entretenue.",https://www.tayara.tn/item/voitures/sfax/sfax-ville/vente-mercedes-glc/6a122619453ae0812f09958f/,,135000,,Noir,12,165000,,,Avec kilométrage,Vente Mercedes GLC,Classe GLC,Automatique,,Mercedes-Benz,,2018,Diesel,,4 x 4,,,,2.2L
"✅Attestation de Propriété Individuel 
✅Quartier sélectif, doté d'un bon voisinage à Bouhsina El Ghazali 
✅Au deuxième étage d'une Petite Résidence R+2, gardée et sécurisée.
✅Abri de voiture est disponible devant la résidence 
✅Idéal pour investissement grâce à sa rentabilité locatif
✅Bénéficie d'un luminosité naturelle
✅Superficie 85 m²
✅Trois balcons
✅Dressing.

⏰ Appelez nous pour le visiter gratuitement.
Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 📱
.
📩 Email :newway.immo@gmail.com.
NEW WAY , NEWWAY , new way , newway , NewWay , real estate , realestate , new way sousse , agence immobiliere sousse , agence immobiliere , new way agence immobiliere sousse , agence immobilière , new way agence immobilière sousse .",https://www.tayara.tn/item/appartements/sousse/sousse/s2-bouhsina-el-ghazali/6a0ed780e853e69bec057bf7/,,259000,,,,,,85,,(S+2) à Bouhsina El Ghazali,,,,,,,,À Vendre,,1,,2,
"aluminium état neuf importe pour tt voiture fourgon berlingo partner opel caddy....
Afficher le numéro
prix 450d",https://www.tayara.tn/item/jardins-et-outils-de-bricolage/monastir/moknine/barre-de-toit-dorigine-psa/6a129988e853e69bec069e8a/,,450,,,,,,,,barre de toit d'origine psa,,,,,,,,,,,Oui,,
"Ford Focus 06/2013 7 cv essence 1.6 4 cylindre moteur le plus fiable atmospherique 0 defaut faible kilometrage tt entretien jdod chaine boujie filtre huile amortisseur kit embrayage triangle tt neuuuf avec facture 0 tgarbi3a moteur allh yberek matsm3ch 7esouu karhba 9wya w nthifa les 4 pneuu neuuuf climatronic glass karhba sarfa barcha fi lentretien eli bch ykseb kol chy jdiddd macha2allah 0 defaut soumha 37 malyoun 9abl chwy leni9ach 
TT option 
Feu dambincee interieur sono sony bluetooth usb cd mp3 
voiture tt neuuuuf raw3a benesba lsomha w confort w loption",https://www.tayara.tn/item/voitures/gafsa/gafsa/ford-focus-062013-7-cv-essence-16-4-cylindre-moteur-le-plus-fiable-atmospherique-0-defaut-faible-kilometrage-tt-entretien-jdod-chaine-boujie-filtre-huile-amortisseur-kit-embrayage-triangle-tt-neuuuf-avec-facture-0-tgarbi3a-moteur-allh-yberek-matsm3ch-7esouu-karhba-9wya-w-nthifa-les-4-pneuu-neuuuf-climatronic-glass-karhba-sarfa-barcha-fi-lentretien-eli-bch-ykseb-kol-chy-jdiddd-macha2allah-0-defaut-soumha-37-malyoun-9abl-chwy-leni9ach-tt-option-feu-dambincee-interieur-sono-sony-bluetooth-usb-cd-mp3-voiture-tt-neuuuuf-raw3a-benesba-lsomha-w-confort-w-loption/6a12015e453ae0812f098a31/,,37000,,Gris,7,162000,,,Nouveau,Ford Focus 06/2013 7 cv essence 1.6 4 cylindre moteur le plus fiable atmospherique 0 defaut faible kilometrage tt entretien jdod chaine boujie filtre huile amortisseur kit embrayage triangle tt neuuuf avec facture 0 tgarbi3a moteur allh yberek matsm3ch 7esouu karhba 9wya w nthifa les 4 pneuu neuuuf climatronic glass karhba sarfa barcha fi lentretien eli bch ykseb kol chy jdiddd macha2allah 0 defaut soumha 37 malyoun 9abl chwy leni9ach TT option Feu dambincee interieur sono sony bluetooth usb cd mp3 voiture tt neuuuuf raw3a benesba lsomha w confort w loption,Focus,Manuelle,,Ford,,2013,Essence,,Compacte,,,,1.6L
"À vendre : Citroën C1 – Modèle 2017 🚗
Voiture très propre et économique, idéale pour la ville et les déplacements quotidiens.
➡️ Ce modèle est équipé du moteur Toyota 1.0L, connu pour sa fiabilité et faible consommation (même moteur que Toyota Aygo et Peugeot 108 )

Détails :
 • 🏁 Année : 2017
 • 🔧 Moteur : Essence 1.0L (Toyota) – très économique
 • ⚙️ Boîte : Manuelle
 • ❄️ Climatisation : Fonctionne parfaitement
 • 🔒 Fermeture centrale : OK
 • 📊 Kilométrage : 124.000km 
 • 🪑 Intérieur : Propre et bien entretenu
 • 🚘 Extérieur : Bon état 
 • 📄 Papiers : En règle (visite et assurance à jour)

🟢 Très pratique pour la ville — faible consommation, facile à garer, entretien peu coûteux.
💪 Moteur Toyota = fiabilité assurée !
 Tel",https://www.tayara.tn/item/voitures/bizerte/bizerte/citroen-c1/6a11dfd6e853e69bec0677b8/,,1,,Bleu,4,120,,,Nouveau,citroen c1,C15,Manuelle,,Citroen,,2017,Essence,,Autres,,,,<1.0L
"🚗 À vendre : Renault Mégane 3 Estate 1.5 dCi

Voiture très propre et bien entretenue, économique et confortable, idéale pour les longs trajets comme pour la ville.

✔️ Moteur 1.5 dCi fiable et faible consommation
✔️ Break spacieux avec grand coffre
✔️ Climatisation
✔️ Direction assistée
✔️ Vitres électriques
✔️ Fermeture centralisée
✔️ Entretien à jour
✔️ Intérieur et extérieur en bon état

📞 Pour plus d’informations ou visite, merci de me contacter en privé.",https://www.tayara.tn/item/voitures/tunis/la-goulette/-vendre-renault-mgane-3-estate-15-dci-voiture-trs-propre-et-bien-entretenue-conomique-et-confortable-idale-pour-les-longs-trajets-comme-pour-la-ville/6a121091e853e69bec068772/,,32000,,Noir,,400000,,,Avec kilométrage,"🚗 À vendre : Renault Mégane 3 Estate 1.5 dCi Voiture très propre et bien entretenue, économique et confortable, idéale pour les longs trajets comme pour la ville.",Megane,Manuelle,,Renault,,2012,Diesel,,Autres,,,,1.5L
